so_thich_chinh,mon_hoc_yeu_thich,ky_nang_noi_bat,tinh_cach,moi_truong_lam_viec_mong_muon,muc_tieu_nghe_nghiep,mo_ta_ban_than,dinh_huong_tuong_lai,nganh_phu_hop
Y te,Ly,Kien nhan,Kien nhan,Ky thuat,On dinh,"Ban than em yeu thich Em thich lam viec voi Ky thuat o to, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Ky thuat o to.",Ky thuat o to
Cong nghe,Hoa,Kien nhan,Nang dong,Truong hoc,Khoi nghiep,"Em thuong tim hieu them ve Em thich lam viec voi Ngon ngu Nhat, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ngon ngu Nhat.,Ngon ngu Nhat
Giao duc,Hoa,Can than,Ti mi,Linh hoat,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Su pham Hoa hoc, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Hoa hoc.,Su pham Hoa hoc
Phap ly,Su,Lanh dao,Huong ngoai,Ky thuat,Theo dam me,"Ban than em yeu thich Em thich lam viec voi Ky thuat xay dung, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ky thuat xay dung.,Ky thuat xay dung
Kinh doanh,Van,Kien nhan,Kien tri,Truong hoc,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Khai thac may tau thuy cung nhu quan ly ky thuat, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc Khai thac may tau thuy va quan ly ky thuat.,Khai thac may tau thuy va quan ly ky thuat
Cong nghe,Tin hoc,Giai quyet van de,Huong noi,Linh hoat,Cong hien xa hoi,"Em rat quan tam den van hanh xuong san xuat va toi uu quy trinh, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se lam ky su co khi che tao va bao tri.,Ky thuat co khi
Cong nghe,Van,Lanh dao,Kien nhan,Benh vien,Thu nhap cao,"Ban than em yeu thich Em thich lam viec voi Thiet ke game, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Thiet ke game.,Thiet ke game
Cong nghe,Tin hoc,Giai quyet van de,Kien tri,Van phong,On dinh,"Ban than em yeu thich tim insight tu so lieu va A B testing, nham nang cao co hoi nghe nghiep sau nay. Em cung quan tam den thuat toan cau truc du lieu he dieu hanh mang may tinh.",Em dinh huong se lam data analyst hoac data scientist trong doanh nghiep.,Khoa hoc du lieu
Du lich,Anh,Thuyet trinh,Huong noi,Linh hoat,Thu nhap cao,"Em rat quan tam den giao tiep da chung toc va khach hang quoc te, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la tro thanh huong dan du lich chuyen nghiep.,Huong dan du lich
Kinh doanh,Sinh,Lanh dao,Nang dong,Truong hoc,On dinh,"Em rat quan tam den Em thich lam viec voi Bao chi, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Bao chi.,Bao chi
Cong nghe,Sinh,Tu duy khong gian,Huong ngoai,Benh vien,Thu nhap cao,"Em rat quan tam den Em quan tam lam viec voi Khai thac may tau thuy cung nhu quan ly ky thuat, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Khai thac may tau thuy va quan ly ky thuat.",Khai thac may tau thuy va quan ly ky thuat
Phap ly,Toan,Phan tich,Huong noi,Ky thuat,On dinh,"Em thuong tim hieu them ve nghien cuu van ban quy dinh bao ve quyen loi khach hang, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la lam luat su hoac chuyen vien phap che.,Luat
Nghe thuat,Su,Ky luat,Kien tri,Ky thuat,Khoi nghiep,"Em co xu huong tap trung vao Em thich lam viec voi Y te cong cong, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Y te cong cong.,Y te cong cong
Kinh doanh,Tin hoc,Kien nhan,Huong ngoai,Benh vien,Theo dam me,"Em co xu huong tap trung vao Em thich lam viec voi Quan tri nha hang cung nhu dich vu an uong, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quan tri nha hang va dich vu an uong.",Quan tri nha hang va dich vu an uong
Phap ly,Ly,Giao tiep,Kien nhan,Benh vien,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Su pham Sinh hoc, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se Em muon lam viec trong linh vuc Su pham Sinh hoc.,Su pham Sinh hoc
Phap ly,Su,Phan tich,Huong ngoai,Van phong,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi Tai chinh ngan hang, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Tai chinh ngan hang.,Tai chinh ngan hang
Y te,Su,Sang tao,Ban linh,Linh hoat,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Vat ly tri lieu va phuc hoi chuc nang, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Vat ly tri lieu va phuc hoi chuc nang.,Vat ly tri lieu va phuc hoi chuc nang
Nghe thuat,Anh,Sang tao,Huong noi,Linh hoat,Cong hien xa hoi,"Ban than em yeu thich Em thich lam viec voi Quan he cong chung, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Quan he cong chung.,Quan he cong chung
Kinh doanh,Van,Sang tao,Ban linh,Sang tao,Theo dam me,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ngon ngu Han, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ngon ngu Han.,Ngon ngu Han
Ngon ngu,Anh,Lanh dao,Ban linh,Ky thuat,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Su pham Lich su, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Su pham Lich su.",Su pham Lich su
Y te,Tin hoc,Lanh dao,Huong ngoai,Benh vien,Cong hien xa hoi,"Em rat quan tam den Em thich lam viec voi Su pham Dia ly, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Dia ly.,Su pham Dia ly
Phap ly,Anh,Sang tao,Huong noi,Linh hoat,On dinh,"Em thuong tim hieu them ve Em quan tam lam viec voi Su pham Hoa hoc, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Su pham Hoa hoc.",Su pham Hoa hoc
Kinh doanh,Ly,Giao tiep,Nang dong,Ky thuat,Theo dam me,"Ban than em yeu thich Em thich lam viec voi Thiet ke game, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Thiet ke game.",Thiet ke game
Nghe thuat,Toan,Sang tao,Kien tri,Linh hoat,On dinh,"Em rat quan tam den Em thich lam viec voi Su pham Tin hoc, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Su pham Tin hoc.",Su pham Tin hoc
Nghe thuat,Anh,Giao tiep,Nang dong,Van phong,On dinh,"Gan day em dau tu thoi gian cho Em thich lam viec voi Kiem toan, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Kiem toan.,Kiem toan
Cong nghe,Sinh,Sang tao,Kien nhan,Benh vien,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Su pham Hoa hoc, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Hoa hoc.,Su pham Hoa hoc
Giao duc,Sinh,Ky luat,Ban linh,Linh hoat,Khoi nghiep,"Em co xu huong tap trung vao Em quan tam lam viec voi Quan tri nhan luc, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quan tri nhan luc.",Quan tri nhan luc
Nghe thuat,Ly,Lanh dao,Huong noi,Benh vien,On dinh,"Em thuong tim hieu them ve Em thich lam viec voi Cong nghe thuc pham, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc Cong nghe thuc pham.,Cong nghe thuc pham
Cong nghe,Anh,Kien nhan,Kien tri,Truong hoc,On dinh,"Em thuong tim hieu them ve Em thich lam viec voi Cong nghe thuc pham, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Cong nghe thuc pham.,Cong nghe thuc pham
Nghe thuat,Ly,Sang tao,Huong noi,Van phong,Thu nhap cao,"Em rat quan tam den Em quan tam lam viec voi Kinh doanh quoc te, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Kinh doanh quoc te.,Kinh doanh quoc te
Kinh doanh,Van,Lanh dao,Kien tri,Truong hoc,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ngon ngu Han, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Ngon ngu Han.,Ngon ngu Han
Y te,Su,Kien nhan,Huong noi,Ky thuat,Cong hien xa hoi,"Em thuong tim hieu them ve Em thich lam viec voi Ky thuat hinh anh y hoc, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat hinh anh y hoc.,Ky thuat hinh anh y hoc
Ngon ngu,Van,Sang tao,Huong noi,Van phong,Cong hien xa hoi,"Em co xu huong tap trung vao IELTS bien dich tai lieu quoc te van phong, de ket hop dam me voi nang luc cua minh. Em cung quan tam den dich vu khach hang van hoa dia phuong booking.",Em dinh huong se lam bien dich vien hoac giao vien tieng Anh.,Ngon ngu Anh
Y te,Van,Ky luat,Huong noi,Sang tao,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Kinh doanh quoc te, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Kinh doanh quoc te.,Kinh doanh quoc te
Ngon ngu,Hoa,Lap luan,Nang dong,Van phong,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Y hoc co truyen, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Y hoc co truyen.,Y hoc co truyen
Nghe thuat,Tin hoc,Giao tiep,Nang dong,Linh hoat,Thu nhap cao,"Em thuong tim hieu them ve kien truc thiet ke cong trinh quy hoach khong gian, va muon phat trien lau dai. Em cung quan tam den thiet ke do hoa mau sac poster branding illustrator.",Muc tieu nghe nghiep cua em la lam kien truc su thiet ke cong trinh.,Kien truc
Kinh doanh,Toan,Lanh dao,Huong ngoai,Linh hoat,Khoi nghiep,"Ban than em yeu thich Em thich lam viec voi Ke toan, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ke toan.,Ke toan
Y te,Tin hoc,Giao tiep,Nang dong,Benh vien,Khoi nghiep,"Em co xu huong tap trung vao Em thich lam viec voi Thiet ke game, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Thiet ke game.,Thiet ke game
Phap ly,Anh,Ban linh,Kien tri,Van phong,Theo dam me,"Gan day em dau tu thoi gian cho nghien cuu van ban quy dinh bao ve quyen loi khach hang, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon lam luat su hoac chuyen vien phap che.",Luat
Y te,Hoa,Can than,Ti mi,Van phong,On dinh,"Em co xu huong tap trung vao Em quan tam lam viec voi Dia ly hoc, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Dia ly hoc.,Dia ly hoc
Nghe thuat,Sinh,Phan tich,Huong noi,Van phong,Thu nhap cao,"Em rat quan tam den Em thich lam viec voi Y hoc co truyen, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se Em muon lam viec trong linh vuc Y hoc co truyen.,Y hoc co truyen
Y te,Tin hoc,Kien nhan,Nang dong,Linh hoat,On dinh,"Em co xu huong tap trung vao Em quan tam lam viec voi Su pham Lich su, va muon phat trien lau dai.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Su pham Lich su.",Su pham Lich su
Ngon ngu,Su,Giao tiep,Ti mi,Benh vien,Cong hien xa hoi,"Em co xu huong tap trung vao Em thich lam viec voi Su pham Dia ly, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Dia ly.,Su pham Dia ly
Ngon ngu,Sinh,Kien nhan,Ban linh,Ky thuat,Cong hien xa hoi,"Em thuong tim hieu them ve Em thich lam viec voi Y da khoa, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Y da khoa.,Y da khoa
Ngon ngu,Toan,Ky luat,Nang dong,Truong hoc,On dinh,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ngon ngu Trung, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Ngon ngu Trung.,Ngon ngu Trung
Nghe thuat,Toan,Giao tiep,Kien tri,Truong hoc,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Quay phim - Dung phim, va muon phat trien lau dai.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quay phim - Dung phim.",Quay phim - Dung phim
Kinh doanh,Van,Can than,Ti mi,Linh hoat,Cong hien xa hoi,"Em co xu huong tap trung vao Em quan tam lam viec voi Logistics cung nhu quan ly chuoi cung ung, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Logistics va quan ly chuoi cung ung.,Logistics va quan ly chuoi cung ung
Y te,Sinh,Ky luat,Ban linh,Truong hoc,Cong hien xa hoi,"Em rat quan tam den Em thich lam viec voi My thuat, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc My thuat.,My thuat
Phap ly,Hoa,Lanh dao,Huong noi,Linh hoat,Theo dam me,"Em co xu huong tap trung vao Em quan tam lam viec voi Duoc hoc, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc Duoc hoc.,Duoc hoc
Giao duc,Ly,Sang tao,Nang dong,Benh vien,On dinh,"Em rat quan tam den Em thich lam viec voi Ky thuat o to, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat o to.,Ky thuat o to
Y te,Hoa,Phan tich,Ban linh,Benh vien,On dinh,"Em thuong tim hieu them ve Em thich lam viec voi Ngon ngu Nhat, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Ngon ngu Nhat.,Ngon ngu Nhat
Nghe thuat,Sinh,Giao tiep,Ban linh,Truong hoc,Thu nhap cao,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Truyen thong da phuong tien, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Truyen thong da phuong tien.",Truyen thong da phuong tien
Kinh doanh,Hoa,Kien nhan,Ban linh,Van phong,Theo dam me,"Em co xu huong tap trung vao Em thich lam viec voi Quay phim - Dung phim, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Quay phim - Dung phim.,Quay phim - Dung phim
Nghe thuat,Van,Lanh dao,Kien tri,Sang tao,Theo dam me,"Ban than em yeu thich Em quan tam lam viec voi Quay phim - Dung phim, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Quay phim - Dung phim.,Quay phim - Dung phim
Y te,Toan,Giao tiep,Kien tri,Truong hoc,Khoi nghiep,"Gan day em dau tu thoi gian cho Em thich lam viec voi Khoi nghiep va doi moi sang tao, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Khoi nghiep va doi moi sang tao.,Khoi nghiep va doi moi sang tao
Kinh doanh,Toan,Ky luat,Huong noi,Van phong,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Dinh duong, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Dinh duong.,Dinh duong
Ngon ngu,Van,Giao tiep,Ti mi,Van phong,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Quay phim - Dung phim, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Quay phim - Dung phim.,Quay phim - Dung phim
Giao duc,Toan,Giao tiep,Huong noi,Benh vien,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi Su pham Tin hoc, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Tin hoc.,Su pham Tin hoc
Ngon ngu,Sinh,Can than,Huong noi,Van phong,Cong hien xa hoi,"Em rat quan tam den Em thich lam viec voi Rang ham mat, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Rang ham mat.",Rang ham mat
Nghe thuat,Van,Phan tich,Nang dong,Van phong,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi Y te cong cong, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Y te cong cong.,Y te cong cong
Ngon ngu,Ly,Sang tao,Nang dong,Benh vien,On dinh,"Ban than em yeu thich Em thich lam viec voi Kinh doanh quoc te, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Kinh doanh quoc te.,Kinh doanh quoc te
Phap ly,Hoa,Phan tich,Huong noi,Benh vien,Cong hien xa hoi,"Ban than em yeu thich Em thich lam viec voi Ky thuat phan mem, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Ky thuat phan mem.",Ky thuat phan mem
Cong nghe,Ly,Giao tiep,Huong ngoai,Linh hoat,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Ky thuat o to, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Ky thuat o to.",Ky thuat o to
Kinh doanh,Van,Lanh dao,Kien nhan,Truong hoc,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Cong nghe thuc pham, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se Em muon lam viec trong linh vuc Cong nghe thuc pham.,Cong nghe thuc pham
Y te,Anh,Lanh dao,Ban linh,Truong hoc,On dinh,"Em thuong tim hieu them ve Em quan tam lam viec voi Logistics va quan ly chuoi cung ung, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Logistics va quan ly chuoi cung ung.,Logistics va quan ly chuoi cung ung
Kinh doanh,Toan,Kien nhan,Huong ngoai,Truong hoc,On dinh,"Em thuong tim hieu them ve Em thich lam viec voi Quan he cong chung, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Quan he cong chung.,Quan he cong chung
Cong nghe,Anh,Sang tao,Ti mi,Van phong,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi Quan ly benh vien, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Quan ly benh vien.,Quan ly benh vien
Nghe thuat,Anh,Phan tich,Nang dong,Truong hoc,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Dinh duong, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Dinh duong.,Dinh duong
Ngon ngu,Su,Lanh dao,Ti mi,Van phong,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi Ngon ngu Nhat, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Ngon ngu Nhat.,Ngon ngu Nhat
Cong nghe,Anh,Ky luat,Ban linh,Ky thuat,Theo dam me,"Em thuong tim hieu them ve Em thich lam viec voi Ky thuat may tinh, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat may tinh.,Ky thuat may tinh
Giao duc,Ly,Ky luat,Ban linh,Ky thuat,On dinh,"Em rat quan tam den Em thich lam viec voi He thong thong tin, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc He thong thong tin.,He thong thong tin
Nghe thuat,Anh,Can than,Ti mi,Truong hoc,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Truyen thong da phuong tien, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Truyen thong da phuong tien.,Truyen thong da phuong tien
Phap ly,Toan,Sang tao,Ti mi,Ky thuat,Thu nhap cao,"Em co xu huong tap trung vao Em quan tam lam viec voi Tu dong hoa, va muon phat trien lau dai.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Tu dong hoa.",Tu dong hoa
Y te,Toan,Can than,Nang dong,Truong hoc,Khoi nghiep,"Em co xu huong tap trung vao Em thich lam viec voi Quan tri nhan luc, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quan tri nhan luc.",Quan tri nhan luc
Phap ly,Anh,Can than,Nang dong,Van phong,Khoi nghiep,"Gan day em dau tu thoi gian cho Em thich lam viec voi Tri tue nhan tao, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Tri tue nhan tao.,Tri tue nhan tao
Phap ly,Van,Lanh dao,Ban linh,Benh vien,Cong hien xa hoi,"Em thuong tim hieu them ve Em thich lam viec voi Cong tac xa hoi, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Cong tac xa hoi.,Cong tac xa hoi
